Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Alabama,US,2021-08-10 04:30:48,32.3182,-86.9023,612086,11625,,,1.0,12483.43678649694,2756534.0,,1.8992429168450184,84000001.0,USA,56219.25340365497,,52604,222
Alaska,US,2021-08-10 04:30:48,61.3707,-152.4044,78441,399,,,2.0,10722.648640890173,2539899.0,,0.5086625616705549,84000002.0,USA,347196.54976795684,,5855,19
American Samoa,US,2021-08-10 04:30:48,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,0,0
Arizona,US,2021-08-10 04:30:48,33.7298,-111.4312,948245,18388,,,4.0,13027.639349077595,10948243.0,,1.93916129270389,84000004.0,USA,150414.4617794592,,44615,355
Arkansas,US,2021-08-10 04:30:48,34.9697,-92.3731,405272,6322,,,5.0,13429.367844962759,3396606.0,,1.5599399909196787,84000005.0,USA,112552.23997317256,,48817,353
California,US,2021-08-10 04:30:48,36.1162,-119.6816,4063317,64800,,,6.0,10283.696262799489,75404964.0,,1.5947562053366744,84000006.0,USA,190839.58905577144,,211628,852
Colorado,US,2021-08-10 04:30:48,39.0598,-105.3111,584462,6998,,,8.0,10149.136893929499,9590747.0,,1.1973404601154567,84000008.0,USA,166542.57114755738,,18929,125
Connecticut,US,2021-08-10 04:30:48,41.5978,-72.7554,359363,8296,,,9.0,10079.497106404056,9171240.0,,2.308529258716117,84000009.0,USA,257237.07516393487,,8107,17
Delaware,US,2021-08-10 04:30:48,39.3185,-75.5071,112967,1835,,,10.0,11601.065555925255,1974047.0,,1.6243681783175616,84000010.0,USA,202723.34980549695,,2698,140
Diamond Princess,US,2021-08-10 04:30:48,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,0,0
District of Columbia,US,2021-08-10 04:30:48,38.8974,-77.0268,51589,1149,,,11.0,7309.822613988826,1752098.0,,2.2272189807904788,84000011.0,USA,248260.78393309802,,1648,6
Florida,US,2021-08-10 04:30:48,27.7663,-81.6868,2768985,39695,,,12.0,12892.349878388024,24335454.0,,1.4335577838088691,84000012.0,USA,113305.48465138575,,364090,1538
Georgia,US,2021-08-10 04:30:48,33.0406,-83.6431,1224480,21831,,,13.0,11532.741984566312,9628632.0,,1.7828792630341044,84000013.0,USA,90687.09045500023,,72043,316
Grand Princess,US,2021-08-10 04:30:48,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,0,0
Guam,US,2021-08-10 04:30:48,13.4443,144.7937,8725,143,,,66.0,5312.703602895957,179783.0,,1.6389684813753582,316.0,GUM,109470.92170079584,,242,2
Hawaii,US,2021-08-10 04:30:48,21.0943,-157.4983,46940,543,,,15.0,3315.271436966053,1908582.0,,1.1567959096719216,84000015.0,USA,134799.04963160513,,8022,21
Idaho,US,2021-08-10 04:30:48,44.2405,-114.4788,205033,2224,,,16.0,11473.169694443122,833841.0,,1.0847034379831542,84000016.0,USA,46659.80252536981,,8260,52
Illinois,US,2021-08-10 04:30:48,40.3495,-88.9861,1444211,25965,,,17.0,11397.02809880285,27188772.0,,1.7978674861221802,84000017.0,USA,214560.89065652047,,40856,206
Indiana,US,2021-08-10 04:30:48,39.8494,-86.2583,786272,14064,,,18.0,11679.239787059807,11366594.0,,1.7886939888486426,84000018.0,USA,168838.74395648745,,24264,140
Iowa,US,2021-08-10 04:30:48,42.0115,-93.2105,382401,6193,,,19.0,12120.206524736377,1529873.0,,1.6195041330958861,84000019.0,USA,48489.352058749886,,7774,44
Kansas,US,2021-08-10 04:30:48,38.5266,-96.7265,343203,5327,,,20.0,11780.501518202294,1529696.0,,1.5521426094760244,84000020.0,USA,52507.076133914845,,19078,129
Kentucky,US,2021-08-10 04:30:48,37.6681,-84.6701,500267,7387,,,21.0,11197.484686099453,5741890.0,,1.4766114894646258,84000021.0,USA,128520.82057035061,,28248,117
Louisiana,US,2021-08-10 04:30:48,31.1695,-91.8678,590446,11260,,,22.0,12701.057521585168,7768059.0,,1.90703298862216,84000022.0,USA,167098.37002887198,,86345,429
Maine,US,2021-08-10 04:30:48,44.6939,-69.3819,71305,901,,,23.0,5304.59481093756,2439646.0,,1.2635860037865507,84000023.0,USA,181492.65145676426,,2086,39
Maryland,US,2021-08-10 04:30:48,39.0639,-76.8021,474555,9861,,,24.0,7849.489222056079,11445488.0,,2.0779467079685183,84000024.0,USA,189316.8014185336,,10783,95
