Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-17 04:30:48,32.3182,-86.9023,637363,11799,,,1.0,12998.958840019292,2756534.0,,1.8512213605119845,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-17 04:30:48,61.3707,-152.4044,80885,403,,,2.0,11056.736085955068,2585595.0,,0.498238239475799,84000002.0,USA,353443.0554511342,
American Samoa,US,2021-08-17 04:30:48,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-17 04:30:48,33.7298,-111.4312,967862,18464,,,4.0,13297.151132541629,11170853.0,,1.9077099834480533,84000004.0,USA,153472.83044525568,
Arkansas,US,2021-08-17 04:30:48,34.9697,-92.3731,420663,6498,,,5.0,13939.374459043727,3466830.0,,1.5447044308627096,84000005.0,USA,114879.23006265482,
California,US,2021-08-17 07:31:06,36.1162,-119.6816,4148367,64694,,,6.0,10498.946110928762,77103192.0,,1.5595052221753765,84000006.0,USA,195137.5704677512,
Colorado,US,2021-08-17 04:30:48,39.0598,-105.3111,592372,7041,,,8.0,10286.493424946031,9727047.0,,1.1886112105231172,84000008.0,USA,168909.40998163485,
Connecticut,US,2021-08-17 04:30:48,41.5978,-72.7554,363417,8307,,,9.0,10193.20464243131,9264240.0,,2.2858039112094373,84000009.0,USA,259845.56082020892,
Delaware,US,2021-08-17 04:30:48,39.3185,-75.5071,114770,1838,,,10.0,11786.223355967155,1998396.0,,1.6014637971595365,84000010.0,USA,205223.8530075049,
Diamond Princess,US,2021-08-17 04:30:48,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-17 04:30:48,38.8974,-77.0268,52777,1150,,,11.0,7478.154414671505,1777003.0,,2.1789794796975954,84000011.0,USA,251789.6589297328,
Florida,US,2021-08-17 04:30:48,27.7663,-81.6868,2920749,40766,,,12.0,13598.960635377927,24335454.0,,1.3957378740864073,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-17 04:30:48,33.0406,-83.6431,1272014,22014,,,13.0,11980.44007477144,9811889.0,,1.7306413294193304,84000013.0,USA,92413.09308294488,
Grand Princess,US,2021-08-17 04:30:48,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2021-08-17 04:30:48,13.4443,144.7937,9018,143,,,66.0,5491.113019016129,184787.0,,1.5857174539809271,316.0,GUM,112517.88660955132,
Hawaii,US,2021-08-17 04:30:48,21.0943,-157.4983,51739,552,,,15.0,3654.214505266013,1967074.0,,1.0668934459498638,84000015.0,USA,138930.21403064686,
Idaho,US,2021-08-17 04:30:48,44.2405,-114.4788,209411,2251,,,16.0,11718.152389532555,846688.0,,1.0749196556054839,84000016.0,USA,47378.69075831041,
Illinois,US,2021-08-17 04:30:48,40.3495,-88.9861,1466813,26057,,,17.0,11575.392360734893,27609781.0,,1.7764363964595349,84000017.0,USA,217883.2939638273,
Indiana,US,2021-08-17 04:30:48,39.8494,-86.2583,803403,14144,,,18.0,11933.702691489983,11558469.0,,1.7605112253750608,84000018.0,USA,171688.84434686395,
Iowa,US,2021-08-17 04:30:48,42.0115,-93.2105,387273,6210,,,19.0,12274.624651750992,1541795.0,,1.6035199975211285,84000019.0,USA,48867.220061678505,
Kansas,US,2021-08-17 04:30:48,38.5266,-96.7265,351356,5400,,,20.0,12060.354633932351,1551046.0,,1.5369027425175603,84000020.0,USA,53239.918525775116,
Kentucky,US,2021-08-17 04:30:48,37.6681,-84.6701,518987,7451,,,21.0,11616.494761366825,5850003.0,,1.4356814332536267,84000021.0,USA,130940.71567010385,
