Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-12 04:31:01,32.3182,-86.9023,619752,11689,,,1.0,12639.784140308799,2756534.0,,1.8860770114497407,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-12 04:31:01,61.3707,-152.4044,78701,400,,,2.0,10758.189858450269,2562326.0,,0.5082527540946112,84000002.0,USA,350262.2531764963,
American Samoa,US,2021-08-12 04:31:01,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-12 04:31:01,33.7298,-111.4312,952797,18406,,,4.0,13090.177843155601,10989147.0,,1.931786099242546,84000004.0,USA,150976.4289503219,
Arkansas,US,2021-08-12 04:31:01,34.9697,-92.3731,410832,6366,,,5.0,13613.607775720358,3410243.0,,1.5495384974880242,84000005.0,USA,113004.12485370155,
California,US,2021-08-12 04:31:01,36.1162,-119.6816,4088383,64493,,,6.0,10347.134860015345,75860515.0,,1.577469625521875,84000006.0,USA,191992.52595835977,
Colorado,US,2021-08-12 04:31:01,39.0598,-105.3111,586562,7013,,,8.0,10185.603229597606,9650048.0,,1.1956110351505893,84000008.0,USA,167572.32837205942,
Connecticut,US,2021-08-12 04:31:01,41.5978,-72.7554,360552,8297,,,9.0,10112.846455278355,9211619.0,,2.3011937251769514,84000009.0,USA,258369.63475871648,
Delaware,US,2021-08-12 04:31:01,39.3185,-75.5071,113251,1836,,,10.0,11630.230733524755,1980072.0,,1.6211777379449188,84000010.0,USA,203342.0828866132,
Diamond Princess,US,2021-08-12 04:31:01,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-12 04:31:01,38.8974,-77.0268,51853,1149,,,11.0,7347.229680807199,1764898.0,,2.2158795055252347,84000011.0,USA,250074.45990004946,
Florida,US,2021-08-12 04:31:01,27.7663,-81.6868,2768985,39695,,,12.0,12892.349878388024,24335454.0,,1.4335577838088691,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-12 04:31:01,33.0406,-83.6431,1238383,21894,,,13.0,11663.687130106806,9721779.0,,1.76795062593721,84000013.0,USA,91564.39373282953,
