,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
0,327354822.0,555658,22381,67139.0
1,327316219.0,580930,23927,78924.0
2,327280343.0,608017,26232,85408.0
3,327242913.0,636876,28710,91501.0
4,327201782.0,668157,33326,96735.0
5,327159915.0,700241,37205,102639.0
6,327112009.0,732697,39064,116230.0
7,327075420.0,759495,41118,123967.0
8,327045784.0,784824,42625,126767.0
9,327009214.0,812576,44889,133321.0
10,326972899.0,841117,47099,138885.0
11,326935896.0,869954,50400,143750.0
12,326860885.0,906154,52413,180548.0
13,326815845.0,939099,54239,190817.0
14,326780175.0,966392,55444,197989.0
15,326747993.0,988984,56854,206169.0
16,326672333.0,1013496,58936,255235.0
17,326629347.0,1041025,61424,268204.0
18,326712255.0,1070488,63310,153947.0
19,326666016.0,1104691,65278,164015.0
20,326624181.0,1133576,66861,175382.0
21,326592742.0,1158859,68247,180152.0
22,326562019.0,1181277,69524,187180.0
23,326533220.0,1205428,71561,189791.0
24,326506506.0,1229809,73775,189910.0
25,326470765.0,1258204,75995,195036.0
26,326438281.0,1285206,77520,198993.0
27,326397217.0,1311126,79123,212534.0
28,326373214.0,1330677,79940,216169.0
29,326337115.0,1349027,81125,232733.0
30,326315660.0,1371262,82791,230287.0
31,326280073.0,1392010,84487,243430.0
32,326248303.0,1419022,86261,246414.0
33,326217245.0,1444125,87883,250747.0
34,326173369.0,1469160,89095,268376.0
35,326149513.0,1488256,89966,272265.0
36,326116067.0,1509949,90806,283178.0
37,326088001.0,1530327,92280,289392.0
38,326058475.0,1553435,93778,294312.0
39,326027671.0,1578909,95002,298418.0
40,325950791.0,1602815,96259,350135.0
41,325917270.0,1624155,97336,361239.0
42,325890660.0,1644622,97982,366736.0
43,325858681.0,1663640,98522,379157.0
44,325833318.0,1682562,99218,384902.0
45,325806786.0,1701037,100669,391508.0
46,325774566.0,1723667,101776,399991.0
47,325742519.0,1748095,102940,406446.0
48,325707311.0,1772316,103912,416461.0
49,325658821.0,1791873,104548,444758.0
50,325623797.0,1812667,105305,458231.0
51,325595958.0,1833918,106256,463868.0
52,325559656.0,1853832,107254,479258.0
53,325531516.0,1875213,108269,485002.0
54,325493420.0,1905475,109399,491706.0
55,325460819.0,1928230,110102,500849.0
56,325436590.0,1946478,110565,506367.0
57,325406278.0,1964167,111033,518522.0
58,325380749.0,1982413,111983,524855.0
59,325349594.0,2004015,112887,533504.0
60,325319159.0,2026805,113744,540292.0
61,325285484.0,2052539,114591,547386.0
62,325249740.0,2078319,115335,556606.0
63,325224996.0,2097526,115662,561816.0
64,325190189.0,2117422,116055,576334.0
65,325158453.0,2141178,116866,583503.0
66,325122092.0,2168101,117616,592191.0
67,325086354.0,2196225,118306,599115.0
68,325046294.0,2228025,118966,606715.0
69,325002170.0,2260846,119524,617460.0
70,324971942.0,2286116,119809,622133.0
71,324920827.0,2318727,120248,640198.0
72,324876544.0,2354931,120977,647548.0
73,324831094.0,2391037,121708,656161.0
74,324780704.0,2431604,124130,663562.0
75,324726872.0,2477552,124767,670809.0
76,324676202.0,2519216,125274,679308.0
77,324629144.0,2560117,125575,685164.0
78,324567163.0,2601716,125918,705203.0
79,324505328.0,2646909,127132,720631.0
80,324443865.0,2698360,127781,729994.0
81,324336065.0,2753492,128473,781970.0
82,324273831.0,2806615,129150,790404.0
83,324124363.0,2851872,129440,894325.0
84,324061743.0,2901747,129747,906763.0
85,323997663.0,2948085,130104,924148.0
86,323923483.0,3008798,131243,936476.0
87,323846051.0,3068467,132020,953462.0
88,323767046.0,3130818,133025,969111.0
89,323684015.0,3198973,133827,983185.0
90,323610870.0,3259007,134547,995576.0
91,323541061.0,3317628,134985,1006326.0
92,323456298.0,3376344,135419,1031939.0
93,323369696.0,3444894,136312,1049098.0
94,323273920.0,3512930,137268,1075882.0
95,323182464.0,3588671,138220,1090645.0
96,323092889.0,3660789,139118,1107204.0
97,323012986.0,3724328,139966,1122720.0
98,322942987.0,3785479,140413,1131121.0
99,322852059.0,3847022,140832,1160087.0
100,322764128.0,3911955,141899,1182018.0
