Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2021-08-07 04:31:08,32.3182,-86.9023,603318,11600,,,1.0,12304.614245638297,2756534.0,,1.922700797920831,84000001.0,USA,56219.25340365497,
Alaska,US,2021-08-07 04:31:08,61.3707,-152.4044,77586,398,,,2.0,10605.772713913702,2530710.0,,0.5129791457221664,84000002.0,USA,345940.4411211887,
American Samoa,US,2021-08-07 04:31:08,-14.271,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,
Arizona,US,2021-08-07 04:31:08,33.7298,-111.4312,940762,18342,,,4.0,12924.832769291621,10844733.0,,1.9496960974189008,84000004.0,USA,148992.37049606408,
Arkansas,US,2021-08-07 04:31:08,34.9697,-92.3731,400275,6269,,,5.0,13263.783864028279,3361811.0,,1.5661732558865782,84000005.0,USA,111399.24925541882,
California,US,2021-08-07 04:31:08,36.1162,-119.6816,4031815,64731,,,6.0,10203.96903510086,74620314.0,,1.605505212912795,84000006.0,USA,188853.74786430006,
Colorado,US,2021-08-07 04:31:08,39.0598,-105.3111,581692,6978,,,8.0,10101.036060691096,9569772.0,,1.19960391409887,84000008.0,USA,166178.34191392,
Connecticut,US,2021-08-07 04:31:08,41.5978,-72.7554,358076,8296,,,9.0,10043.399030709168,9155364.0,,2.3168265954713525,84000009.0,USA,256791.78141899934,
Delaware,US,2021-08-07 04:31:08,39.3185,-75.5071,112298,1833,,,10.0,11532.363077706714,1964175.0,,1.6322641543037275,84000010.0,USA,201709.55180105238,
Diamond Princess,US,2021-08-07 04:31:08,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2021-08-07 04:31:08,38.8974,-77.0268,51103,1149,,,11.0,7240.959604618639,1747398.0,,2.248400289611177,84000011.0,USA,247594.82478898304,
Florida,US,2021-08-07 04:31:08,27.7663,-81.6868,2768985,39695,,,12.0,12892.349878388024,24335454.0,,1.433557783808869,84000012.0,USA,113305.48465138575,
Georgia,US,2021-08-07 04:31:08,33.0406,-83.6431,1211439,21802,,,13.0,11409.915569908066,9600814.0,,1.7996779037161592,84000013.0,USA,90425.08714214363,
Grand Princess,US,2021-08-07 04:31:08,,,103,3,,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2021-08-07 04:31:08,13.4443,144.7937,8673,143,,,66.0,5281.0404983285525,178718.0,,1.648795111264845,316.0,GUM,108822.43696302113,
Hawaii,US,2021-08-07 04:31:08,21.0943,-157.4983,45245,540,,,15.0,3195.5572255119105,1883809.0,,1.1935020444247983,84000015.0,USA,133049.38582018713,
Idaho,US,2021-08-07 04:31:08,44.2405,-114.4788,204091,2217,,,16.0,11420.457565897155,833841.0,,1.0862801397415858,84000016.0,USA,46659.802525369814,
Illinois,US,2021-08-07 04:31:08,40.3495,-88.9861,1436353,25936,,,17.0,11335.0164905265,27119503.0,,1.8056842572821583,84000017.0,USA,214014.2525687508,
Indiana,US,2021-08-07 04:31:08,39.8494,-86.2583,781326,14054,,,18.0,11605.77218299048,11339156.0,,1.7987370188628051,84000018.0,USA,168431.18145740655,
Iowa,US,2021-08-07 04:31:08,42.0115,-93.2105,382401,6193,,,19.0,12120.206524736377,1529873.0,,1.619504133095886,84000019.0,USA,48489.35205874989,
Kansas,US,2021-08-07 04:31:08,38.5266,-96.7265,340491,5305,,,20.0,11687.411655592225,1523652.0,,1.5580441186404341,84000020.0,USA,52299.61480293577,
Kentucky,US,2021-08-07 04:31:08,37.6681,-84.6701,495132,7372,,,21.0,11082.54789461986,5726032.0,,1.4888958903888256,84000021.0,USA,128165.87068928275,
Louisiana,US,2021-08-07 04:31:08,31.1695,-91.8678,573903,11210,,,22.0,12345.201787818518,7731484.0,,1.9532917583633471,84000022.0,USA,166311.60683824663,
Maine,US,2021-08-07 04:31:08,44.6939,-69.3819,71141,900,,,23.0,5292.394354461945,2418092.0,,1.26509326548685,84000023.0,USA,179889.18414654827,
Maryland,US,2021-08-07 04:31:08,39.0639,-76.8021,472224,9846,,,24.0,7810.932765214168,11370660.0,,2.0850274446025616,84000024.0,USA,188079.09118577235,
Massachusetts,US,2021-08-07 04:31:08,42.2302,-71.5301,726395,18095,,,25.0,10538.914527857296,24847641.0,,2.4910689087892948,84000025.0,USA,360502.43286074745,
Michigan,US,2021-08-07 04:31:08,43.3266,-84.5361,1018601,21221,,,26.0,10199.415091254436,14659708.0,,2.083347650355733,84000026.0,USA,146790.00610502384,
Minnesota,US,2021-08-07 04:31:08,45.6945,-93.9002,617788,7787,,,27.0,10954.402698615795,9791227.0,,1.260464754899739,84000027.0,USA,173614.6436505077,
Mississippi,US,2021-08-07 04:31:08,32.7416,-89.6787,358149,7621,,,28.0,12033.974105463134,2076027.0,,2.1278853214723483,84000028.0,USA,69755.47931235969,
