Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Alabama,US,2021-08-11 04:31:15,32.3182,-86.9023,615901,11648,,,1.0,12561.243355084502,2756534.0,,1.8912130358612829,84000001.0,USA,56219.25340365497,,56871.0,223.0
Alaska,US,2021-08-11 04:31:15,61.3707,-152.4044,78701,400,,,2.0,10758.189858450269,2554585.0,,0.5082527540946112,84000002.0,USA,349204.08177213976,,6536.0,18.0
American Samoa,US,2021-08-11 04:31:15,-14.270999999999999,-170.132,0,0,,,60.0,0.0,2140.0,,,16.0,ASM,3846.084721698028,,0.0,0.0
Arizona,US,2021-08-11 04:31:15,33.7298,-111.4312,950827,18400,,,4.0,13063.112633723771,10969913.0,,1.9351574997344416,84000004.0,USA,150712.1790832093,,46684.0,353.0
Arkansas,US,2021-08-11 04:31:15,34.9697,-92.3731,407892,6346,,,5.0,13516.185941830547,3401081.0,,1.5558039873299796,84000005.0,USA,112700.52660808984,,47799.0,367.0
California,US,2021-08-11 07:31:15,36.1162,-119.6816,4076632,64853,,,6.0,10317.394695813497,75662474.0,,1.5908475427755069,84000006.0,USA,191491.3114354513,,227576.0,846.0
Colorado,US,2021-08-11 04:31:15,39.0598,-105.3111,585352,7010,,,8.0,10164.591674284078,9639288.0,,1.1975700091568833,84000008.0,USA,167385.48181406475,,21376.0,145.0
Connecticut,US,2021-08-11 04:31:15,41.5978,-72.7554,359638,8297,,,9.0,10087.210370441426,9202569.0,,2.307042081203877,84000009.0,USA,258115.7982513049,,9324.0,17.0
Delaware,US,2021-08-11 04:31:15,39.3185,-75.5071,113090,1836,,,10.0,11613.696953265884,1977715.0,,1.62348571933858,84000010.0,USA,203100.0324513948,,2874.0,140.0
Diamond Princess,US,2021-08-11 04:31:15,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,,0.0,0.0
District of Columbia,US,2021-08-11 04:31:15,38.8974,-77.0268,51589,1149,,,11.0,7309.822613988826,1757561.0,,2.2272189807904788,84000011.0,USA,249034.8551680555,,2063.0,5.0
Florida,US,2021-08-11 04:31:15,27.7663,-81.6868,2768985,39695,,,12.0,12892.349878388024,24335454.0,,1.4335577838088691,84000012.0,USA,113305.48465138575,,364090.0,1538.0
Georgia,US,2021-08-11 04:31:15,33.0406,-83.6431,1231425,21862,,,13.0,11598.153337208096,9699058.0,,1.7753415758166349,84000013.0,USA,91350.39641916877,,83321.0,332.0
Grand Princess,US,2021-08-11 04:31:15,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,,0.0,0.0
